Seq,DateListed,統計日期,年度,縣市,縣市別代碼,統計項目,面積,資料筆數
194,"20240906","20220517","111","花蓮縣","10015","國有土地","15305.495","24512"
195,"20240906","20220517","111","花蓮縣","10015","省有土地","0","0"
196,"20240906","20220517","111","花蓮縣","10015","縣有土地","19.653","263"
197,"20240906","20220517","111","花蓮縣","10015","鄉有土地","15.332","128"
198,"20240906","20220517","111","花蓮縣","10015","公有土地","15340.48","24903"
199,"20240906","20220517","111","花蓮縣","10015","其他單位","20.956","56"
200,"20240906","20220517","111","花蓮縣","10015","所有權部總計","30866.455","92396"
201,"20240906","20220517","111","臺東縣","10014","私有保留地","19033.808","52988"
202,"20240906","20220517","111","臺東縣","10014","國有土地","29296.686","30172"
203,"20240906","20220517","111","臺東縣","10014","省有土地","0","0"
204,"20240906","20220517","111","臺東縣","10014","縣有土地","43.371","570"
205,"20240906","20220517","111","臺東縣","10014","鄉有土地","17.938","259"
206,"20240906","20220517","111","臺東縣","10014","公有土地","29357.995","31001"
207,"20240906","20220517","111","臺東縣","10014","其他單位","14.78","36"
208,"20240906","20220517","111","臺東縣","10014","所有權部總計","48406.583","84025"
209,"20240906","20180601","107","臺中市","66000","私有保留地","937.464","4863"
210,"20240906","20180601","107","臺中市","66000","國有土地","5433.103","13720"
211,"20240906","20180601","107","臺中市","66000","省有土地","0","0"
212,"20240906","20180601","107","臺中市","66000","縣有土地","0","0"
213,"20240906","20180601","107","臺中市","66000","鄉有土地","5.246","72"
214,"20240906","20180601","107","臺中市","66000","公有土地","5438.349","13792"
215,"20240906","20180601","107","臺中市","66000","其他單位","",""
216,"20240906","20180601","107","臺中市","66000","所有權部總計","",""
217,"20240906","20180601","107","基隆市","10017","私有保留地","0.221","92"
218,"20240906","20180601","107","基隆市","10017","國有土地","3.149","47"
219,"20240906","20180601","107","基隆市","10017","省有土地","0","0"
220,"20240906","20180601","107","基隆市","10017","縣有土地","0","0"
221,"20240906","20180601","107","基隆市","10017","鄉有土地","0.082","2"
222,"20240906","20180601","107","基隆市","10017","公有土地","3.231","49"
223,"20240906","20180601","107","基隆市","10017","其他單位","",""
224,"20240906","20180601","107","基隆市","10017","所有權部總計","",""
225,"20240906","20180601","107","高雄市","64000","私有保留地","7984.441","17503"
226,"20240906","20180601","107","高雄市","64000","國有土地","8734.467","7294"
227,"20240906","20180601","107","高雄市","64000","省有土地","0","0"
228,"20240906","20180601","107","高雄市","64000","縣有土地","0","0"
229,"20240906","20180601","107","高雄市","64000","鄉有土地","15.158","194"
230,"20240906","20180601","107","高雄市","64000","公有土地","8749.625","7488"
231,"20240906","20180601","107","高雄市","64000","其他單位","",""
232,"20240906","20180601","107","高雄市","64000","所有權部總計","",""
233,"20240906","20180601","107","新北市","65000","私有保留地","885.187","4784"
234,"20240906","20180601","107","新北市","65000","國有土地","1223.724","4196"
235,"20240906","20180601","107","新北市","65000","省有土地","0","0"
236,"20240906","20180601","107","新北市","65000","縣有土地","0","0"
237,"20240906","20180601","107","新北市","65000","鄉有土地","0","0"
238,"20240906","20180601","107","新北市","65000","公有土地","1223.724","4196"
239,"20240906","20180601","107","新北市","65000","其他單位","",""
240,"20240906","20180601","107","新北市","65000","所有權部總計","",""
241,"20240906","20180601","107","宜蘭縣","10002","私有保留地","6090.974","22241"
242,"20240906","20180601","107","宜蘭縣","10002","國有土地","8675.394","12040"
243,"20240906","20180601","107","宜蘭縣","10002","省有土地","0","0"
244,"20240906","20180601","107","宜蘭縣","10002","縣有土地","1.828","34"
245,"20240906","20180601","107","宜蘭縣","10002","鄉有土地","1.641","32"
246,"20240906","20180601","107","宜蘭縣","10002","公有土地","8678.863","12106"
247,"20240906","20180601","107","宜蘭縣","10002","其他單位","",""
248,"20240906","20180601","107","宜蘭縣","10002","所有權部總計","",""
249,"20240906","20180601","107","桃園市","68000","私有保留地","4618.276","20288"
250,"20240906","20180601","107","桃園市","68000","國有土地","7401.205","15267"
251,"20240906","20180601","107","桃園市","68000","省有土地","0","0"
252,"20240906","20180601","107","桃園市","68000","縣有土地","0","0"
253,"20240906","20180601","107","桃園市","68000","鄉有土地","2.42","67"
254,"20240906","20180601","107","桃園市","68000","公有土地","7403.625","15334"
255,"20240906","20180601","107","桃園市","68000","其他單位","",""
256,"20240906","20180601","107","桃園市","68000","所有權部總計","",""
257,"20240906","20180601","107","新竹縣","10004","私有保留地","12060.113","32191"
258,"20240906","20180601","107","新竹縣","10004","國有土地","6109.285","10802"
259,"20240906","20180601","107","新竹縣","10004","省有土地","0","0"
260,"20240906","20180601","107","新竹縣","10004","縣有土地","1.259","28"
261,"20240906","20180601","107","新竹縣","10004","鄉有土地","0.839","18"
262,"20240906","20180601","107","新竹縣","10004","公有土地","6111.383","10848"
263,"20240906","20180601","107","新竹縣","10004","其他單位","",""
264,"20240906","20180601","107","新竹縣","10004","所有權部總計","",""
265,"20240906","20180601","107","苗栗縣","10005","私有保留地","5006.736","17783"
266,"20240906","20180601","107","苗栗縣","10005","國有土地","4053.224","6807"
267,"20240906","20180601","107","苗栗縣","10005","省有土地","0","0"
268,"20240906","20180601","107","苗栗縣","10005","縣有土地","7.785","96"
269,"20240906","20180601","107","苗栗縣","10005","鄉有土地","0.419","15"
270,"20240906","20180601","107","苗栗縣","10005","公有土地","4061.428","6918"
271,"20240906","20180601","107","苗栗縣","10005","其他單位","",""
272,"20240906","20180601","107","苗栗縣","10005","所有權部總計","",""
273,"20240906","20180601","107","南投縣","10008","私有保留地","10307.619","32544"
274,"20240906","20180601","107","南投縣","10008","國有土地","21814.993","26503"
275,"20240906","20180601","107","南投縣","10008","省有土地","0","0"
